frequency,FFTpower
13.95294,5.73E-09
14.0004,1.10E-09
14.04785,3.25E-08
14.09531,9.39E-09
14.14277,3.00E-09
14.19023,6.31E-09
14.23769,6.52E-09
14.28515,5.57E-09
14.33261,6.03E-09
14.38007,7.31E-10
14.42753,6.60E-09
14.47499,5.17E-09
14.52244,3.34E-09
14.5699,3.27E-09
14.61736,1.15E-09
14.66482,5.51E-09
14.71228,3.46E-09
14.75974,6.12E-09
14.8072,3.25E-09
14.85466,2.71E-08
14.90212,1.61E-10
14.94957,1.17E-08
14.99703,2.79E-09
15.04449,5.40E-09
15.09195,4.15E-09
15.13941,1.80E-08
15.18687,5.88E-09
15.23433,1.05E-09
15.28179,8.90E-09
15.32925,2.00E-08
15.37671,2.97E-09
15.42416,1.31E-09
15.47162,1.43E-08
15.51908,2.61E-09
15.56654,7.21E-09
15.614,1.96E-09
15.66146,1.61E-10
15.70892,1.63E-09
15.75638,1.56E-08
15.80384,8.51E-09
15.8513,2.95E-08
15.89875,2.85E-09
15.94621,1.12E-08
15.99367,9.21E-09
16.04113,1.79E-09
16.08859,3.01E-08
16.13605,2.52E-08
16.18351,6.32E-09
16.23097,3.38E-09
16.27843,4.61E-10
16.32588,3.52E-09
16.37334,1.00E-08
16.4208,3.91E-09
16.46826,9.84E-10
16.51572,1.10E-08
16.56318,2.34E-09
16.61064,1.19E-09
16.6581,1.26E-08
16.70556,2.76E-09
16.75302,9.21E-10
16.80047,6.19E-09
16.84793,6.20E-09
16.89539,1.02E-09
16.94285,2.86E-09
16.99031,6.74E-09
17.03777,3.75E-09
17.08523,1.26E-08
17.13269,6.89E-09
17.18015,3.95E-09
17.22761,3.20E-09
17.27506,7.86E-09
17.32252,2.19E-09
17.36998,9.78E-09
17.41744,8.32E-09
17.4649,6.35E-09
17.51236,1.21E-09
17.55982,1.20E-08
17.60728,7.92E-09
17.65474,3.90E-10
17.70219,1.29E-08
17.74965,2.55E-09
17.79711,2.67E-09
17.84457,5.62E-09
17.89203,6.73E-09
17.93949,1.25E-08
17.98695,6.50E-09
18.03441,1.59E-08
18.08187,1.04E-08
18.12933,1.13E-08
18.17678,4.47E-09
18.22424,9.88E-09
18.2717,5.80E-09
18.31916,5.70E-09
18.36662,2.71E-09
18.41408,8.66E-09
18.46154,5.15E-10
18.509,8.42E-10
18.55646,4.68E-09
18.60392,6.72E-11
18.65137,2.61E-10
18.69883,8.71E-09
18.74629,2.93E-09
18.79375,1.09E-09
18.84121,4.69E-09
18.88867,3.35E-09
