file,id,type,date,displaydateDOY,hour,minute,timeH,temperatureC,DewpointC +/- 0.2,relative humidity (%),boutID,sample,freq,eyespots,rectrixL,trainL,traindate,displaydate,traindateDOY
GOPR1349,juvenile11,juvenile,3/14/15,NA,8,56,8.933333333,22.2,2.5,27.4,juvenile11_GOPR1349,peak,26.06,NA,NA,NA,NA,NA,NA
GOPR1349,juvenile11,juvenile,3/14/15,NA,8,56,8.933333333,22.2,2.5,27.4,juvenile11_GOPR1349,post,23.2776699,NA,NA,NA,NA,NA,NA
GOPR1349,juvenile11,juvenile,3/14/15,NA,8,56,8.933333333,22.2,2.5,27.4,juvenile11_GOPR1349,pre,25.50638298,NA,NA,NA,NA,NA,NA
GOPR1350,juvenile11,juvenile,3/14/15,NA,8,57,8.95,22.2,2.5,27.4,juvenile11_GOPR1350,peak,25.78,NA,NA,NA,NA,NA,NA
GOPR1350,juvenile11,juvenile,3/14/15,NA,8,57,8.95,22.2,2.5,27.4,juvenile11_GOPR1350,post,25.50638298,NA,NA,NA,NA,NA,NA
GOPR1350,juvenile11,juvenile,3/14/15,NA,8,57,8.95,22.2,2.5,27.4,juvenile11_GOPR1350,pre,28.20705882,NA,NA,NA,NA,NA,NA
GOPR1343,juvenile12,juvenile,3/14/15,NA,8,44,8.733333333,22.2,2.5,27.4,juvenile12_GOPR1343,peak,26.94,NA,NA,NA,NA,NA,NA
GOPR1343,juvenile12,juvenile,3/14/15,NA,8,44,8.733333333,22.2,2.5,27.4,juvenile12_GOPR1343,post,28.88674699,NA,NA,NA,NA,NA,NA
GOPR1343,juvenile12,juvenile,3/14/15,NA,8,44,8.733333333,22.2,2.5,27.4,juvenile12_GOPR1343,pre,NA,NA,NA,NA,NA,NA,NA
GOPR0245,juvenile13,juvenile,03-12-15,NA,8,6,8.1,13.9,7.4,64.9,juvenile13_GOPR0245,peak,25.78,NA,NA,NA,NA,NA,NA
GOPR0245,juvenile13,juvenile,03-12-15,NA,8,6,8.1,13.9,7.4,64.9,juvenile13_GOPR0245,post,25.50638298,NA,NA,NA,NA,NA,NA
GOPR0245,juvenile13,juvenile,03-12-15,NA,8,6,8.1,13.9,7.4,64.9,juvenile13_GOPR0245,pre,25.23789474,NA,NA,NA,NA,NA,NA
GOPR0246,juvenile13,juvenile,03-12-15,NA,8,7,8.116666667,13.9,7.4,64.9,juvenile13_GOPR0246,peak,26.64,NA,NA,NA,NA,NA,NA
GOPR0246,juvenile13,juvenile,03-12-15,NA,8,7,8.116666667,13.9,7.4,64.9,juvenile13_GOPR0246,post,25.78064516,NA,NA,NA,NA,NA,NA
GOPR0246,juvenile13,juvenile,03-12-15,NA,8,7,8.116666667,13.9,7.4,64.9,juvenile13_GOPR0246,pre,NA,NA,NA,NA,NA,NA,NA
GOPR0248,juvenile13,juvenile,03-12-15,NA,8,7,8.116666667,13.9,7.4,64.9,juvenile13_GOPR0248,peak,24.98,NA,NA,NA,NA,NA,NA
GOPR0248,juvenile13,juvenile,03-12-15,NA,8,7,8.116666667,13.9,7.4,64.9,juvenile13_GOPR0248,post,24.975,NA,NA,NA,NA,NA,NA
GOPR0248,juvenile13,juvenile,03-12-15,NA,8,7,8.116666667,13.9,7.4,64.9,juvenile13_GOPR0248,pre,24.71752577,NA,NA,NA,NA,NA,NA
GOPR0046,juvenile14,juvenile,03-10-15,NA,16,31,16.51666667,22.2,1.6,25.7,juvenile14_GOPR0046,peak,27.88,NA,NA,NA,NA,NA,NA
GOPR0046,juvenile14,juvenile,03-10-15,NA,16,31,16.51666667,22.2,1.6,25.7,juvenile14_GOPR0046,post,27.55862069,NA,NA,NA,NA,NA,NA
GOPR0046,juvenile14,juvenile,03-10-15,NA,16,31,16.51666667,22.2,1.6,25.7,juvenile14_GOPR0046,pre,28.20705882,NA,NA,NA,NA,NA,NA
GOPR0252,juvenile14,juvenile,03-12-15,NA,8,10,8.166666667,13.9,7.4,64.9,juvenile14_GOPR0252,peak,28.89,NA,NA,NA,NA,NA,NA
GOPR0252,juvenile14,juvenile,03-12-15,NA,8,10,8.166666667,13.9,7.4,64.9,juvenile14_GOPR0252,post,28.20705882,NA,NA,NA,NA,NA,NA
GOPR0252,juvenile14,juvenile,03-12-15,NA,8,10,8.166666667,13.9,9.4,74.3,juvenile14_GOPR0252,pre,29.6,NA,NA,NA,NA,NA,NA
GOPR2119,juvenile2,juvenile,3/23/15,NA,8,46,8.766666667,16.7,9.4,62.1,juvenile2_GOPR2119,peak,27.88,NA,NA,NA,NA,NA,NA
GOPR2119,juvenile2,juvenile,3/23/15,NA,8,46,8.766666667,16.7,9.4,62.1,juvenile2_GOPR2119,post,27.55862069,NA,NA,NA,NA,NA,NA
GOPR2119,juvenile2,juvenile,3/23/15,NA,8,46,8.766666667,16.7,9.4,62.1,juvenile2_GOPR2119,pre,28.54285714,NA,NA,NA,NA,NA,NA
GOPR2095,juvenile3,juvenile,3/23/15,NA,8,16,8.266666667,15.6,9.4,66.6,juvenile3_GOPR2095,peak,26.94,NA,NA,NA,NA,NA,NA
GOPR2095,juvenile3,juvenile,3/23/15,NA,8,16,8.266666667,15.6,9.4,66.6,juvenile3_GOPR2095,post,27.55862069,NA,NA,NA,NA,NA,NA
GOPR2095,juvenile3,juvenile,3/23/15,NA,8,16,8.266666667,15.6,9.4,66.6,juvenile3_GOPR2095,pre,26.93932584,NA,NA,NA,NA,NA,NA
GOPR2008,juvenile4,juvenile,3/22/15,NA,10,5,10.08333333,17.2,11.6,69.6,juvenile4_GOPR2008,peak,24.47,NA,NA,NA,NA,NA,NA
GOPR2008,juvenile4,juvenile,3/22/15,NA,10,5,10.08333333,17.2,11.6,69.6,juvenile4_GOPR2008,post,21.6,NA,NA,NA,NA,NA,NA
GOPR2008,juvenile4,juvenile,3/22/15,NA,10,5,10.08333333,17.2,11.6,69.6,juvenile4_GOPR2008,pre,23.73861386,NA,NA,NA,NA,NA,NA
GOPR2009,juvenile4,juvenile,3/22/15,NA,10,8,10.13333333,17.2,11.6,69.6,juvenile4_GOPR2009,peak,25.24,NA,NA,NA,NA,NA,NA
GOPR2009,juvenile4,juvenile,3/22/15,NA,10,8,10.13333333,17.2,11.6,69.6,juvenile4_GOPR2009,post,24.975,NA,NA,NA,NA,NA,NA
GOPR2009,juvenile4,juvenile,3/22/15,NA,10,8,10.13333333,17.2,11.6,69.6,juvenile4_GOPR2009,pre,25.78064516,NA,NA,NA,NA,NA,NA
GOPR2010,juvenile4,juvenile,3/22/15,NA,10,10,10.16666667,17.2,11.6,69.6,juvenile4_GOPR2010,peak,26.35,NA,NA,NA,NA,NA,NA
GOPR2010,juvenile4,juvenile,3/22/15,NA,10,10,10.16666667,17.2,11.6,69.6,juvenile4_GOPR2010,post,23.73861386,NA,NA,NA,NA,NA,NA
GOPR2010,juvenile4,juvenile,3/22/15,NA,10,10,10.16666667,17.2,11.6,69.6,juvenile4_GOPR2010,pre,24.71752577,NA,NA,NA,NA,NA,NA
GOPR1441,juvenile5,juvenile,3/15/15,NA,8,31,8.516666667,23.3,4.2,28.9,juvenile5_GOPR1441,peak,25.78,NA,NA,NA,NA,NA,NA
GOPR1441,juvenile5,juvenile,3/15/15,NA,8,31,8.516666667,23.3,4.2,28.9,juvenile5_GOPR1441,post,28.20705882,NA,NA,NA,NA,NA,NA
GOPR1441,juvenile5,juvenile,3/15/15,NA,8,31,8.516666667,23.3,4.2,28.9,juvenile5_GOPR1441,pre,28.54285714,NA,NA,NA,NA,NA,NA
GOPR1442,juvenile5,juvenile,3/15/15,NA,8,32,8.533333333,23.3,4.2,28.9,juvenile5_GOPR1442,peak,24.22,NA,NA,NA,NA,NA,NA
GOPR1442,juvenile5,juvenile,3/15/15,NA,8,32,8.533333333,23.3,4.2,28.9,juvenile5_GOPR1442,post,26.93932584,NA,NA,NA,NA,NA,NA
GOPR1442,juvenile5,juvenile,3/15/15,NA,8,32,8.533333333,23.3,4.2,28.9,juvenile5_GOPR1442,pre,27.55862069,NA,NA,NA,NA,NA,NA
GOPR1443,juvenile5,juvenile,3/15/15,NA,8,33,8.55,23.3,4.2,28.9,juvenile5_GOPR1443,peak,27.25,NA,NA,NA,NA,NA,NA
GOPR1443,juvenile5,juvenile,3/15/15,NA,8,33,8.55,23.3,4.2,28.9,juvenile5_GOPR1443,post,26.34725275,NA,NA,NA,NA,NA,NA
GOPR1443,juvenile5,juvenile,3/15/15,NA,8,33,8.55,23.3,4.2,28.9,juvenile5_GOPR1443,pre,26.93932584,NA,NA,NA,NA,NA,NA
