crest,f_res,res_lower,res_upper,f_vortex_response,vortex_lower,vortex_upper
1,25.19,24.51,25.87,26.96,26.28,27.63
7,25.99,25.31,26.68,26.3,23.07,29.53
9,22.85,22.68,23.01,23.61,21.45,25.77
