frequency (Hz),transfer function (arb. units),fit,Crest 1
5.91918,1.05333,1.08783,
5.94295,1.05094,1.08832,
5.96672,1.0484,1.08881,
5.99049,1.04597,1.0893,
6.01426,1.04371,1.0898,
6.03803,1.0416,1.09029,
6.06181,1.0394,1.09079,
6.08558,1.03729,1.0913,
6.10935,1.03551,1.0918,
6.13312,1.03416,1.09231,
6.15689,1.03348,1.09282,
6.18067,1.03368,1.09333,
6.20444,1.03482,1.09384,
6.22821,1.03677,1.09436,
6.25198,1.03988,1.09488,
6.27575,1.04358,1.0954,
6.29952,1.04781,1.09592,
6.3233,1.0525,1.09645,
6.34707,1.05696,1.09698,
6.37084,1.06107,1.09751,
6.39461,1.06447,1.09804,
6.41838,1.06706,1.09858,
6.44216,1.06873,1.09912,
6.46593,1.06973,1.09966,
6.4897,1.07018,1.10021,
6.51347,1.07017,1.10075,
6.53724,1.06983,1.1013,
6.56101,1.06913,1.10185,
6.58479,1.06806,1.10241,
6.60856,1.0666,1.10296,
6.63233,1.06487,1.10352,
6.6561,1.06248,1.10409,
6.67987,1.05953,1.10465,
6.70365,1.05605,1.10522,
6.72742,1.05212,1.10579,
6.75119,1.04788,1.10636,
6.77496,1.0437,1.10693,
6.79873,1.04027,1.10751,
6.8225,1.03817,1.10809,
6.84628,1.03792,1.10867,
6.87005,1.03974,1.10926,
6.89382,1.04352,1.10985,
6.91759,1.04897,1.11044,
6.94136,1.05552,1.11103,
6.96513,1.06259,1.11163,
6.98891,1.06948,1.11223,
7.01268,1.07561,1.11283,
7.03645,1.0803,1.11343,
7.06022,1.08336,1.11404,
7.08399,1.08486,1.11465,
7.10777,1.08496,1.11526,
7.13154,1.08379,1.11587,
7.15531,1.08182,1.11649,
7.17908,1.0797,1.11711,
7.20285,1.07781,1.11774,
7.22662,1.07631,1.11836,
7.2504,1.07534,1.11899,
7.27417,1.07491,1.11962,
7.29794,1.07489,1.12026,
7.32171,1.07523,1.12089,
7.34548,1.07574,1.12153,
7.36926,1.07616,1.12217,
7.39303,1.07643,1.12282,
7.4168,1.07634,1.12347,
7.44057,1.07586,1.12412,
7.46434,1.0749,1.12477,
7.48811,1.07344,1.12543,
7.51189,1.07166,1.12609,
7.53566,1.06982,1.12675,
7.55943,1.06826,1.12742,
7.5832,1.06726,1.12808,
7.60697,1.06694,1.12875,
7.63074,1.0674,1.12943,
7.65452,1.0685,1.1301,
7.67829,1.0699,1.13078,
7.70206,1.07128,1.13147,
7.72583,1.07232,1.13215,
7.7496,1.07271,1.13284,
7.77338,1.07232,1.13353,
7.79715,1.07114,1.13423,
7.82092,1.06929,1.13492,
7.84469,1.06698,1.13562,
7.86846,1.06462,1.13633,
7.89223,1.06283,1.13703,
7.91601,1.062,1.13774,
7.93978,1.06251,1.13845,
7.96355,1.06468,1.13917,
7.98732,1.06835,1.13989,
8.01109,1.07332,1.14061,
8.03487,1.07939,1.14133,
8.05864,1.08608,1.14206,
8.08241,1.09302,1.14279,
8.10618,1.09988,1.14352,
8.12995,1.10633,1.14426,
8.15372,1.1122,1.145,
8.1775,1.11739,1.14574,
8.20127,1.12159,1.14649,
8.22504,1.1245,1.14724,
8.24881,1.12596,1.14799,
8.27258,1.12589,1.14875,
8.29635,1.12434,1.1495,
8.32013,1.1216,1.15027,
8.3439,1.11814,1.15103,
8.36767,1.11431,1.1518,
8.39144,1.11036,1.15257,
8.41521,1.10651,1.15334,
8.43899,1.10297,1.15412,
8.46276,1.09999,1.1549,
8.48653,1.09771,1.15569,
8.5103,1.09606,1.15647,
8.53407,1.09503,1.15726,
8.55784,1.09467,1.15806,
8.58162,1.09487,1.15886,
8.60539,1.09549,1.15966,
8.62916,1.09628,1.16046,
8.65293,1.09704,1.16127,
8.6767,1.09787,1.16208,
8.70048,1.09886,1.16289,
8.72425,1.09991,1.16371,
8.74802,1.10083,1.16453,
8.77179,1.10168,1.16535,
8.79556,1.10296,1.16618,
8.81933,1.10499,1.16701,
8.84311,1.10763,1.16784,
8.86688,1.11072,1.16868,
8.89065,1.11426,1.16952,
8.91442,1.11805,1.17037,
8.93819,1.1217,1.17121,
8.96197,1.1249,1.17207,
8.98574,1.12732,1.17292,
9.00951,1.12838,1.17378,
9.03328,1.12807,1.17464,
9.05705,1.12653,1.17551,
9.08082,1.12379,1.17637,
9.1046,1.11981,1.17725,
9.12837,1.11579,1.17812,
9.15214,1.11262,1.179,
9.17591,1.11066,1.17989,
9.19968,1.11021,1.18077,
9.22345,1.11138,1.18166,
9.24723,1.11404,1.18256,
9.271,1.11812,1.18345,
9.29477,1.12337,1.18436,
9.31854,1.12901,1.18526,
9.34231,1.13498,1.18617,
9.36609,1.14099,1.18708,
9.38986,1.14652,1.188,
9.41363,1.15142,1.18892,
9.4374,1.15503,1.18984,
9.46117,1.15719,1.19077,
9.48494,1.15816,1.1917,
9.50872,1.1578,1.19263,
9.53249,1.15654,1.19357,
9.55626,1.15433,1.19451,
9.58003,1.15133,1.19546,
9.6038,1.14884,1.19641,
9.62758,1.14634,1.19736,
9.65135,1.14432,1.19832,
9.67512,1.14353,1.19928,
9.69889,1.14342,1.20025,
9.72266,1.14454,1.20122,
9.74643,1.14677,1.20219,
9.77021,1.14984,1.20317,
9.79398,1.15372,1.20415,
9.81775,1.15807,1.20513,
9.84152,1.16288,1.20612,
9.86529,1.1678,1.20712,
9.88906,1.17179,1.20811,
9.91284,1.17569,1.20911,
9.93661,1.17845,1.21012,
9.96038,1.17945,1.21113,
9.98415,1.17996,1.21214,
10.00792,1.17862,1.21316,
10.0317,1.17622,1.21418,
10.05547,1.17357,1.2152,
10.07924,1.17057,1.21623,
10.10301,1.168,1.21727,
10.12678,1.16632,1.21831,
10.15055,1.16573,1.21935,
10.17433,1.1665,1.22039,
10.1981,1.16889,1.22145,
10.22187,1.17243,1.2225,
10.24564,1.17677,1.22356,
10.26941,1.18168,1.22462,
10.29319,1.18681,1.22569,
10.31696,1.1909,1.22676,
10.34073,1.19374,1.22784,
10.3645,1.19579,1.22892,
10.38827,1.19622,1.23,
10.41204,1.19574,1.23109,
10.43582,1.19495,1.23219,
10.45959,1.19436,1.23329,
10.48336,1.19459,1.23439,
10.50713,1.19599,1.2355,
10.5309,1.19856,1.23661,
10.55468,1.2024,1.23772,
10.57845,1.2075,1.23884,
10.60222,1.21297,1.23997,
10.62599,1.21855,1.2411,
10.64976,1.22377,1.24223,
10.67353,1.22785,1.24337,
10.69731,1.23011,1.24451,
10.72108,1.2309,1.24566,
10.74485,1.23055,1.24681,
10.76862,1.22923,1.24797,
10.79239,1.22783,1.24913,
10.81616,1.22691,1.2503,
10.83994,1.22684,1.25147,
10.86371,1.22777,1.25265,
10.88748,1.22965,1.25383,
10.91125,1.23237,1.25501,
10.93502,1.23563,1.2562,
10.9588,1.2389,1.2574,
10.98257,1.24152,1.2586,
11.00634,1.2433,1.2598,
11.03011,1.24383,1.26101,
11.05388,1.24283,1.26223,
11.07765,1.24034,1.26345,
11.10143,1.23659,1.26467,
11.1252,1.23222,1.2659,
11.14897,1.22812,1.26714,
11.17274,1.22504,1.26837,
11.19651,1.2236,1.26962,
11.22029,1.22425,1.27087,
11.24406,1.22714,1.27212,
11.26783,1.23187,1.27338,
11.2916,1.23795,1.27465,
11.31537,1.24476,1.27592,
11.33914,1.25167,1.27719,
11.36292,1.25821,1.27847,
11.38669,1.26409,1.27976,
11.41046,1.26913,1.28105,
11.43423,1.27324,1.28235,
11.458,1.27646,1.28365,
11.48177,1.27874,1.28495,
11.50555,1.28034,1.28626,
11.52932,1.28168,1.28758,
11.55309,1.28323,1.2889,
11.57686,1.28539,1.29023,
11.60063,1.28832,1.29157,
11.62441,1.2918,1.2929,
11.64818,1.29548,1.29425,
11.67195,1.29908,1.2956,
11.69572,1.3022,1.29695,
11.71949,1.30444,1.29832,
11.74326,1.30542,1.29968,
11.76704,1.30489,1.30105,
11.79081,1.30291,1.30243,
11.81458,1.29953,1.30381,
11.83835,1.29484,1.3052,
11.86212,1.28906,1.3066,
11.8859,1.2827,1.308,
11.90967,1.27645,1.30941,
11.93344,1.27114,1.31082,
11.95721,1.26763,1.31224,
11.98098,1.26651,1.31366,
12.00475,1.26799,1.31509,
12.02853,1.27205,1.31652,
12.0523,1.27841,1.31797,
12.07607,1.28654,1.31941,
12.09984,1.29568,1.32087,
12.12361,1.30508,1.32232,
12.14739,1.31413,1.32379,
12.17116,1.32234,1.32526,
12.19493,1.32929,1.32674,
12.2187,1.33464,1.32822,
12.24247,1.33836,1.32971,
12.26624,1.34083,1.33121,
12.29002,1.34224,1.33271,
12.31379,1.34295,1.33422,
12.33756,1.34335,1.33573,
12.36133,1.34344,1.33725,
12.3851,1.34355,1.33878,
12.40887,1.34397,1.34031,
12.43265,1.34487,1.34185,
12.45642,1.34615,1.3434,
12.48019,1.34758,1.34495,
12.50396,1.34895,1.34651,
12.52773,1.35015,1.34808,
12.55151,1.35116,1.34965,
12.57528,1.35185,1.35123,
12.59905,1.35222,1.35282,
12.62282,1.35245,1.35441,
12.64659,1.35291,1.35601,
12.67036,1.35369,1.35761,
12.69414,1.35452,1.35923,
12.71791,1.3552,1.36084,
12.74168,1.35606,1.36247,
12.76545,1.35776,1.3641,
12.78922,1.36047,1.36574,
12.813,1.36407,1.36739,
12.83677,1.36844,1.36904,
12.86054,1.37376,1.3707,
12.88431,1.37973,1.37237,
12.90808,1.38587,1.37405,
12.93185,1.39179,1.37573,
12.95563,1.39725,1.37742,
12.9794,1.40165,1.37911,
13.00317,1.40481,1.38082,
13.02694,1.40676,1.38253,
13.05071,1.40731,1.38425,
13.07448,1.40644,1.38597,
13.09826,1.40514,1.3877,
13.12203,1.40431,1.38944,
13.1458,1.40367,1.39119,
13.16957,1.40372,1.39295,
13.19334,1.40475,1.39471,
13.21712,1.40668,1.39648,
13.24089,1.40931,1.39826,
13.26466,1.41257,1.40004,
13.28843,1.41598,1.40183,
13.3122,1.41938,1.40363,
13.33597,1.42299,1.40544,
13.35975,1.42602,1.40726,
13.38352,1.42843,1.40908,
13.40729,1.43017,1.41091,
13.43106,1.43098,1.41275,
13.45483,1.43114,1.4146,
13.47861,1.4305,1.41646,
13.50238,1.42918,1.41832,
13.52615,1.42754,1.42019,
13.54992,1.4256,1.42207,
13.57369,1.42446,1.42396,
13.59746,1.42427,1.42586,
13.62124,1.42497,1.42776,
13.64501,1.42805,1.42967,
13.66878,1.43277,1.43159,
13.69255,1.43897,1.43352,
13.71632,1.4467,1.43546,
13.7401,1.45478,1.43741,
13.76387,1.46272,1.43936,
13.78764,1.4698,1.44133,
13.81141,1.47523,1.4433,
13.83518,1.47869,1.44528,
13.85895,1.47994,1.44727,
13.88273,1.48005,1.44927,
13.9065,1.47949,1.45128,
13.93027,1.47783,1.45329,
13.95404,1.47744,1.45532,
13.97781,1.47791,1.45735,
14.00158,1.47912,1.45939,
14.02536,1.48243,1.46145,
14.04913,1.48684,1.46351,
14.0729,1.49218,1.46558,
14.09667,1.49847,1.46766,
14.12044,1.50515,1.46975,
14.14422,1.51152,1.47185,
14.16799,1.51721,1.47395,
14.19176,1.52183,1.47607,
14.21553,1.52512,1.4782,
14.2393,1.5275,1.48033,
14.26307,1.52907,1.48248,
14.28685,1.5296,1.48463,
14.31062,1.52988,1.4868,
14.33439,1.53059,1.48898,
14.35816,1.53132,1.49116,
14.38193,1.53542,1.49335,
14.40571,1.52852,1.49556,
14.42948,1.52913,1.49777,
14.45325,1.54833,1.5,
14.47702,1.55892,1.50223,
14.50079,1.57202,1.50448,
14.52456,1.58947,1.50673,
14.54834,1.55508,1.509,
14.57211,1.53264,1.51127,
14.59588,1.59757,1.51356,
15,1.69565,1.55408,
15.02376,1.69826,1.55657,
15.04751,1.7004,1.55906,
15.07127,1.70263,1.56157,
15.09502,1.70465,1.56409,
15.11878,1.70679,1.56662,
15.14254,1.71043,1.56916,
15.16629,1.71655,1.57171,
15.19005,1.722,1.57428,
15.2138,1.72393,1.57686,
15.23756,1.72397,1.57945,
15.26132,1.72524,1.58205,
15.28507,1.73037,1.58467,
15.30883,1.73561,1.58729,
15.33258,1.73694,1.58993,
15.35634,1.73589,1.59259,
15.3801,1.73719,1.59525,
15.40385,1.74299,1.59793,
15.42761,1.74983,1.60062,
15.45136,1.75468,1.60333,
15.47512,1.75667,1.60605,
15.49887,1.75983,1.60878,
15.52263,1.76599,1.61152,
15.54639,1.77218,1.61428,
15.57014,1.77708,1.61705,
15.5939,1.78001,1.61983,
15.61765,1.78271,1.62263,
15.64141,1.78571,1.62544,
15.66517,1.7892,1.62827,
15.68892,1.79321,1.63111,
15.71268,1.79686,1.63396,
15.73643,1.79949,1.63683,
15.76019,1.80121,1.63971,
15.78395,1.80398,1.6426,
15.8077,1.80939,1.64551,
15.83146,1.81645,1.64843,
15.85521,1.82257,1.65137,
15.87897,1.82731,1.65433,
15.90273,1.83342,1.65729,
15.92648,1.84295,1.66028,
15.95024,1.85295,1.66327,
15.97399,1.86014,1.66628,
15.99775,1.86466,1.66931,
16.02151,1.86981,1.67235,
16.04526,1.87696,1.67541,
16.06902,1.88318,1.67848,
16.09277,1.88753,1.68157,
16.11653,1.89073,1.68468,
16.14029,1.89457,1.6878,
16.16404,1.89951,1.69093,
16.1878,1.9045,1.69408,
16.21155,1.90915,1.69725,
16.23531,1.9137,1.70043,
16.25906,1.91807,1.70363,
16.28282,1.92265,1.70685,
16.30658,1.92742,1.71008,
16.33033,1.9321,1.71333,
16.35409,1.93629,1.7166,
16.37784,1.93931,1.71988,
16.4016,1.94199,1.72318,
16.42536,1.94515,1.7265,
16.44911,1.94865,1.72983,
16.47287,1.95173,1.73318,
16.49662,1.95432,1.73655,
16.52038,1.9571,1.73993,
16.54414,1.96041,1.74334,
16.56789,1.96404,1.74676,
16.59165,1.96703,1.7502,
16.6154,1.96965,1.75365,
16.63916,1.97223,1.75713,
16.66292,1.97453,1.76062,
16.68667,1.97595,1.76413,
16.71043,1.97678,1.76767,
16.73418,1.97758,1.77121,
16.75794,1.97771,1.77478,
16.7817,1.97697,1.77837,
16.80545,1.97542,1.78197,
16.82921,1.97343,1.7856,
16.85296,1.97117,1.78924,
16.87672,1.9687,1.79291,
16.90048,1.96603,1.79659,
16.92423,1.96348,1.80029,
16.94799,1.96125,1.80402,
16.97174,1.95989,1.80776,
16.9955,1.95985,1.81152,
17.01925,1.95957,1.81531,
17.04301,1.95801,1.81911,
17.06677,1.95635,1.82294,
17.09052,1.95602,1.82678,
17.11428,1.9557,1.83065,
17.13803,1.95315,1.83454,
17.16179,1.94867,1.83845,
17.18555,1.94451,1.84238,
17.2093,1.94188,1.84633,
17.23306,1.93825,1.8503,
17.25681,1.932,1.8543,
17.28057,1.92494,1.85832,
17.30433,1.9196,1.86236,
17.32808,1.91466,1.86642,
17.35184,1.90863,1.87051,
17.37559,1.90211,1.87461,
17.39935,1.89637,1.87874,
17.42311,1.89212,1.8829,
17.44686,1.88929,1.88708,
17.47062,1.88755,1.89128,
17.49437,1.88596,1.8955,
17.51813,1.884,1.89975,
17.54189,1.88278,1.90402,
17.56564,1.88321,1.90832,
17.5894,1.88347,1.91264,
17.61315,1.88112,1.91699,
17.63691,1.87694,1.92136,
17.66067,1.87512,1.92575,
17.68442,1.87525,1.93017,
17.70818,1.87342,1.93462,
17.73193,1.86834,1.93909,
17.75569,1.86471,1.94359,
17.77944,1.86421,1.94811,
17.8032,1.86317,1.95266,
17.82696,1.85811,1.95723,
17.85071,1.85193,1.96184,
17.87447,1.84873,1.96647,
17.89822,1.84651,1.97112,
17.92198,1.84266,1.97581,
17.94574,1.83814,1.98052,
17.96949,1.83602,1.98526,
17.99325,1.83629,1.99002,
18.017,1.83813,1.99482,
18.04076,1.84082,1.99964,
18.06452,1.8444,2.00449,
18.08827,1.84894,2.00937,
18.11203,1.85518,2.01428,
18.13578,1.8634,2.01922,
18.15954,1.87141,2.02419,
18.1833,1.87695,2.02919,
18.20705,1.88324,2.03421,
18.23081,1.89241,2.03927,
18.25456,1.90223,2.04436,
18.27832,1.9087,2.04948,
18.30208,1.9148,2.05463,
18.32583,1.92447,2.05981,
18.34959,1.93692,2.06503,
18.37334,1.9469,2.07027,
18.3971,1.95539,2.07555,
18.42086,1.96734,2.08086,
18.44461,1.9825,2.0862,
18.46837,1.99634,2.09158,
18.49212,2.00817,2.09699,
18.51588,2.0217,2.10243,
18.53963,2.03691,2.10791,
18.56339,2.05184,2.11342,
18.58715,2.06548,2.11896,
18.6109,2.07897,2.12454,
18.63466,2.09306,2.13015,
18.65841,2.10775,2.1358,
18.68217,2.12308,2.14149,
18.70593,2.13852,2.14721,
18.72968,2.15324,2.15296,
18.75344,2.16876,2.15876,
18.77719,2.18649,2.16459,
18.80095,2.20432,2.17045,
18.82471,2.22001,2.17636,
18.84846,2.23594,2.1823,
18.87222,2.25428,2.18828,
18.89597,2.27369,2.1943,
18.91973,2.2898,2.20036,
18.94349,2.30491,2.20645,
18.96724,2.32208,2.21259,
18.991,2.34004,2.21876,
19.01475,2.35481,2.22498,
19.03851,2.36878,2.23124,
19.06227,2.38475,2.23753,
19.08602,2.40188,2.24387,
19.10978,2.41756,2.25025,
19.13353,2.433,2.25667,
19.15729,2.44942,2.26314,
19.18105,2.4663,2.26964,
19.2048,2.48274,2.2762,
19.22856,2.49867,2.28279,
19.25231,2.51394,2.28943,
19.27607,2.52877,2.29611,
19.29982,2.54352,2.30284,
19.32358,2.5579,2.30961,
19.34734,2.57062,2.31642,
19.37109,2.58268,2.32329,
19.39485,2.59537,2.3302,
19.4186,2.60826,2.33715,
19.44236,2.61908,2.34416,
19.46612,2.6295,2.35121,
19.48987,2.64064,2.35831,
19.51363,2.65152,2.36546,
19.53738,2.66085,2.37266,
19.56114,2.66988,2.3799,
19.5849,2.67931,2.3872,
19.60865,2.68874,2.39455,
19.63241,2.69752,2.40194,
19.65616,2.70601,2.40939,
19.67992,2.71503,2.4169,
19.70368,2.72381,2.42445,
19.72743,2.73181,2.43206,
19.75119,2.74008,2.43972,
19.77494,2.74817,2.44743,
19.7987,2.75596,2.4552,
19.82246,2.76354,2.46302,
19.84621,2.77091,2.4709,
19.86997,2.77805,2.47883,
19.89372,2.78463,2.48682,
19.91748,2.79057,2.49487,
19.94124,2.79611,2.50298,
19.96499,2.80144,2.51114,
19.98875,2.80639,2.51936,
20.0125,2.8103,2.52764,
20.03626,2.81392,2.53599,
20.06002,2.81838,2.54439,
20.08377,2.82197,2.55285,
20.10753,2.82466,2.56138,
20.13128,2.82771,2.56996,
20.15504,2.83132,2.57861,
20.17879,2.83375,2.58732,
20.20255,2.83471,2.5961,
20.22631,2.83619,2.60494,
20.25006,2.83824,2.61385,
20.27382,2.8386,2.62282,
20.29757,2.83777,2.63186,
20.32133,2.83781,2.64097,
20.34509,2.8389,2.65014,
20.36884,2.83993,2.65939,
20.3926,2.84108,2.6687,
20.41635,2.84356,2.67808,
20.44011,2.84744,2.68754,
20.46387,2.85186,2.69706,
20.48762,2.85578,2.70666,
20.51138,2.8581,2.71633,
