frequency (Hz),transfer function (arb. units),fit,Crest 1
22.29307,3.65538,3.71428,
22.31683,3.67925,3.73226,
22.34059,3.70225,3.75038,
22.36434,3.72526,3.76866,
22.3881,3.74982,3.78709,
22.41185,3.77247,3.80568,
22.43561,3.7939,3.82443,
22.45936,3.81703,3.84333,
22.48312,3.84126,3.8624,
22.50688,3.86372,3.88162,
22.53063,3.88747,3.90101,
22.55439,3.91263,3.92056,
22.57814,3.93693,3.94028,
22.6019,3.95993,3.96016,
22.62566,3.98428,3.9802,
22.64941,4.00838,4.00041,
22.67317,4.0318,4.02079,
22.69692,4.05573,4.04134,
22.72068,4.08001,4.06206,
22.74444,4.10414,4.08294,
22.76819,4.12814,4.104,
22.79195,4.15208,4.12523,
22.8157,4.17575,4.14663,
22.83946,4.19899,4.16821,
22.86322,4.22189,4.18995,
22.88697,4.2447,4.21188,
22.91073,4.26792,4.23397,
22.93448,4.29193,4.25624,
22.95824,4.31649,4.27868,
22.982,4.3418,4.3013,
23.00575,4.36772,4.3241,
23.02951,4.39393,4.34707,
23.05326,4.42048,4.37021,
23.07702,4.4464,4.39353,
23.10078,4.47191,4.41703,
23.12453,4.49767,4.44069,
23.14829,4.52297,4.46454,
23.17204,4.54861,4.48855,
23.1958,4.57522,4.51274,
23.21955,4.60218,4.5371,
23.24331,4.62918,4.56163,
23.26707,4.65763,4.58633,
23.29082,4.68655,4.6112,
23.31458,4.71506,4.63623,
23.33833,4.74378,4.66144,
23.36209,4.77383,4.6868,
23.38585,4.80426,4.71233,
23.4096,4.83467,4.73802,
23.43336,4.8651,4.76386,
23.45711,4.89562,4.78987,
23.48087,4.92565,4.81602,
23.50463,4.95376,4.84233,
23.52838,4.98142,4.86878,
23.55214,5.00906,4.89538,
23.57589,5.03447,4.92211,
23.59965,5.0609,4.94899,
23.62341,5.08985,4.97599,
23.64716,5.11926,5.00313,
23.67092,5.14817,5.03039,
23.69467,5.18136,5.05777,
23.71843,5.21499,5.08526,
23.74219,5.24669,5.11286,
23.76594,5.27936,5.14057,
23.7897,5.31272,5.16837,
23.81345,5.34237,5.19627,
23.83721,5.3712,5.22425,
23.86097,5.40154,5.25231,
23.88472,5.42967,5.28043,
23.90848,5.45676,5.30862,
23.93223,5.48502,5.33687,
23.95599,5.5132,5.36516,
23.97974,5.5394,5.39349,
24.0035,5.56547,5.42185,
24.02726,5.59158,5.45022,
24.05101,5.61685,5.47861,
24.07477,5.64072,5.50699,
24.09852,5.66404,5.53536,
24.12228,5.68989,5.56371,
24.14604,5.71418,5.59202,
24.16979,5.73759,5.62028,
24.19355,5.76392,5.64849,
24.2173,5.78859,5.67662,
24.24106,5.81003,5.70466,
24.26482,5.83337,5.73261,
24.28857,5.85752,5.76044,
24.31233,5.87571,5.78814,
24.33608,5.89648,5.81569,
24.35984,5.91868,5.84309,
24.3836,5.93841,5.8703,
24.40735,5.9591,5.89733,
24.43111,5.98421,5.92414,
24.45486,6.00664,5.95073,
24.47862,6.02822,5.97708,
24.50238,6.05298,6.00316,
24.52613,6.0761,6.02895,
24.54989,6.0981,6.05445,
24.57364,6.11942,6.07963,
24.5974,6.13936,6.10447,
24.62116,6.15714,6.12895,
24.64491,6.17238,6.15306,
24.66867,6.18771,6.17676,
24.69242,6.20191,6.20005,
24.71618,6.213,6.22289,
24.73993,6.22329,6.24528,
24.76369,6.23561,6.26718,
24.78745,6.24586,6.28858,
24.8112,6.25655,6.30946,
24.83496,6.27215,6.3298,
24.85871,6.28443,6.34957,
24.88247,6.29675,6.36875,
24.90623,6.31211,6.38733,
24.92998,6.32715,6.40529,
24.95374,6.33964,6.4226,
24.97749,6.35541,6.43924,
25.00125,6.36972,6.4552,
25.02501,6.38056,6.47045,
25.04876,6.39384,6.48498,
25.07252,6.40598,6.49877,
25.09627,6.41553,6.5118,
25.12003,6.42433,6.52406,
25.14379,6.43223,6.53553,
25.16754,6.43712,6.54618,
25.1913,6.44128,6.55602,
25.21505,6.44642,6.56502,
25.23881,6.45095,6.57317,
25.26257,6.4543,6.58046,
25.28632,6.45709,6.58688,
25.31008,6.45983,6.59242,
25.33383,6.46059,6.59707,
25.35759,6.45944,6.60081,
25.38135,6.46005,6.60365,
25.4051,6.45715,6.60557,
25.42886,6.45266,6.60658,
25.45261,6.44912,6.60666,
25.47637,6.44329,6.60582,
25.50013,6.43521,6.60405,
25.52388,6.42788,6.60135,
25.54764,6.4185,6.59773,
25.57139,6.40542,6.59319,
25.59515,6.39365,6.58772,
25.6189,6.38045,6.58134,
25.64266,6.36665,6.57405,
25.66642,6.35491,6.56585,
25.69017,6.3443,6.55675,
25.71393,6.33435,6.54677,
25.73768,6.32579,6.53591,
25.76144,6.31836,6.52418,
25.7852,6.31073,6.5116,
25.80895,6.30346,6.49817,
25.83271,6.29652,6.48392,
25.85646,6.28893,6.46885,
25.88022,6.28076,6.45298,
25.90398,6.27234,6.43633,
25.92773,6.26302,6.41891,
25.95149,6.25265,6.40074,
25.97524,6.24183,6.38185,
25.999,6.2306,6.36224,
26.02276,6.21823,6.34194,
26.04651,6.20635,6.32097,
26.07027,6.19478,6.29935,
26.09402,6.18313,6.27709,
26.11778,6.17246,6.25423,
26.14154,6.16228,6.23077,
26.16529,6.152,6.20675,
26.18905,6.14166,6.18217,
26.2128,6.13057,6.15708,
26.23656,6.11814,6.13148,
26.26032,6.10455,6.10539,
26.28407,6.08913,6.07885,
26.30783,6.07207,6.05187,
26.33158,6.05397,6.02447,
26.35534,6.03438,5.99668,
26.37909,6.0144,5.96851,
26.40285,5.99441,5.93998,
26.42661,5.9739,5.91113,
26.45036,5.95324,5.88196,
26.47412,5.93247,5.85249,
26.49787,5.91053,5.82276,
26.52163,5.8878,5.79277,
26.54539,5.86541,5.76255,
26.56914,5.84147,5.73211,
26.5929,5.81798,5.70147,
26.61665,5.79564,5.67066,
26.64041,5.773,5.63968,
26.66417,5.75102,5.60856,
26.68792,5.73054,5.57731,
26.71168,5.70968,5.54594,
26.73543,5.68814,5.51448,
26.75919,5.66779,5.48294,
26.78295,5.64495,5.45133,
26.8067,5.62104,5.41967,
26.83046,5.59678,5.38798,
26.85421,5.56988,5.35625,
26.87797,5.54247,5.32451,
26.90173,5.51489,5.29278,
26.92548,5.48641,5.26105,
26.94924,5.45756,5.22935,
26.97299,5.42894,5.19768,
26.99675,5.39993,5.16605,
27.02051,5.36979,5.13448,
27.04426,5.33951,5.10298,
27.06802,5.30941,5.07155,
27.09177,5.27755,5.0402,
27.11553,5.24691,5.00894,
27.13928,5.2164,4.97778,
27.16304,5.18444,4.94672,
27.1868,5.15461,4.91578,
27.21055,5.12385,4.88496,
27.23431,5.09245,4.85427,
27.25806,5.06189,4.82371,
27.28182,5.0307,4.79328,
27.30558,4.99839,4.76301,
27.32933,4.96698,4.73288,
27.35309,4.93534,4.70291,
27.37684,4.90204,4.67309,
27.4006,4.87075,4.64344,
27.42436,4.83825,4.61396,
27.44811,4.80524,4.58464,
27.47187,4.77372,4.5555,
27.49562,4.74108,4.52654,
27.51938,4.70894,4.49776,
27.54314,4.67765,4.46916,
27.56689,4.646,4.44075,
27.59065,4.61449,4.41252,
27.6144,4.58342,4.38449,
27.63816,4.5518,4.35665,
27.66192,4.51961,4.329,
27.68567,4.48736,4.30154,
27.70943,4.45504,4.27428,
27.73318,4.42146,4.24722,
27.75694,4.38895,4.22036,
27.7807,4.35672,4.1937,
27.80445,4.32329,4.16724,
27.82821,4.29333,4.14098,
27.85196,4.2629,4.11492,
27.87572,4.2328,4.08906,
27.89947,4.2049,4.06341,
27.92323,4.17502,4.03795,
27.94699,4.1461,4.0127,
27.97074,4.11707,3.98765,
27.9945,4.08661,3.9628,
28.01825,4.05647,3.93815,
28.04201,4.02573,3.9137,
28.06577,3.99443,3.88946,
28.08952,3.96333,3.86541,
28.11328,3.93262,3.84156,
28.13703,3.90214,3.81791,
28.16079,3.8726,3.79446,
28.18455,3.84457,3.77121,
28.2083,3.81746,3.74815,
28.23206,3.79131,3.72529,
28.25581,3.76697,3.70262,
28.27957,3.74265,3.68014,
28.30333,3.7184,3.65786,
28.32708,3.69443,3.63577,
28.35084,3.66814,3.61387,
28.37459,3.64131,3.59215,
28.39835,3.61318,3.57063,
28.42211,3.58311,3.54929,
28.44586,3.55352,3.52813,
28.46962,3.52249,3.50716,
28.49337,3.49143,3.48637,
28.51713,3.46117,3.46576,
28.54089,3.43072,3.44534,
28.56464,3.4014,3.42509,
28.5884,3.37321,3.40501,
28.61215,3.34629,3.38512,
28.63591,3.32095,3.36539,
28.65966,3.29715,3.34584,
28.68342,3.27456,3.32647,
28.70718,3.25267,3.30726,
28.73093,3.23114,3.28822,
28.75469,3.20969,3.26934,
28.77844,3.18791,3.25063,
28.8022,3.16558,3.23209,
28.82596,3.1426,3.21371,
28.84971,3.11872,3.19549,
28.87347,3.09441,3.17743,
28.89722,3.06946,3.15952,
28.92098,3.04412,3.14178,
28.94474,3.0189,3.12419,
28.96849,2.99347,3.10675,
28.99225,2.96831,3.08946,
29.016,2.94328,3.07233,
29.03976,2.91853,3.05534,
29.06352,2.8942,3.03851,
29.08727,2.86989,3.02182,
29.11103,2.84643,3.00527,
29.13478,2.82361,2.98887,
29.15854,2.80152,2.97261,
29.1823,2.78072,2.95649,
29.20605,2.76081,2.94051,
29.22981,2.74151,2.92467,
29.25356,2.72285,2.90896,
29.27732,2.70446,2.89339,
29.30108,2.68604,2.87796,
29.32483,2.66756,2.86265,
29.34859,2.64913,2.84748,
29.37234,2.63075,2.83244,
29.3961,2.61239,2.81752,
29.41985,2.59415,2.80274,
29.44361,2.57613,2.78807,
29.46737,2.55842,2.77354,
29.49112,2.54091,2.75912,
29.51488,2.52356,2.74483,
29.53863,2.50673,2.73066,
29.56239,2.49059,2.71661,
29.58615,2.47497,2.70268,
29.6099,2.46,2.68886,
29.63366,2.44562,2.67516,
29.65741,2.43173,2.66157,
29.68117,2.41791,2.6481,
29.70493,2.40386,2.63474,
29.72868,2.38974,2.62149,
29.75244,2.37537,2.60835,
29.77619,2.36061,2.59532,
29.79995,2.34596,2.5824,
29.82371,2.33156,2.56958,
29.84746,2.31743,2.55687,
29.87122,2.30387,2.54427,
29.89497,2.29104,2.53176,
29.91873,2.27877,2.51936,
29.94249,2.26697,2.50706,
29.96624,2.25554,2.49486,
29.99,2.24417,2.48276,
30.01375,2.2329,2.47075,
30.03751,2.22147,2.45884,
30.06127,2.20996,2.44703,
30.08502,2.19836,2.43532,
30.10878,2.18665,2.42369,
30.13253,2.17526,2.41216,
30.15629,2.16391,2.40073,
30.18005,2.1528,2.38938,
30.2038,2.14222,2.37812,
30.22756,2.13182,2.36695,
30.25131,2.12204,2.35587,
30.27507,2.11269,2.34488,
30.29882,2.10377,2.33397,
30.32258,2.09545,2.32315,
30.34634,2.08747,2.31242,
30.37009,2.0801,2.30176,
30.39385,2.07309,2.29119,
30.4176,2.06647,2.2807,
30.44136,2.0602,2.2703,
30.46512,2.05411,2.25997,
30.48887,2.04834,2.24972,
30.51263,2.04258,2.23955,
30.53638,2.03703,2.22946,
30.56014,2.0314,2.21945,
30.5839,2.0257,2.20951,
30.60765,2.01988,2.19965,
30.63141,2.01332,2.18986,
30.65516,2.00666,2.18015,
30.67892,1.99932,2.17051,
30.70268,1.99138,2.16094,
30.72643,1.98354,2.15144,
30.75019,1.97511,2.14202,
30.77394,1.96704,2.13266,
30.7977,1.95931,2.12338,
30.82146,1.95194,2.11416,
30.84521,1.94559,2.10501,
30.86897,1.93975,2.09593,
30.89272,1.93494,2.08691,
30.91648,1.93073,2.07796,
30.94024,1.92687,2.06908,
30.96399,1.92358,2.06026,
30.98775,1.92036,2.05151,
31.0115,1.91723,2.04282,
31.03526,1.91403,2.03419,
31.05901,1.9108,2.02563,
31.08277,1.90756,2.01712,
31.10653,1.90422,2.00868,
31.13028,1.90102,2.0003,
31.15404,1.89789,1.99197,
31.17779,1.89485,1.98371,
31.20155,1.89192,1.97551,
31.22531,1.88884,1.96736,
31.24906,1.88539,1.95927,
31.27282,1.88162,1.95124,
31.29657,1.87711,1.94327,
31.32033,1.87179,1.93535,
31.34409,1.86569,1.92748,
31.36784,1.85854,1.91967,
31.3916,1.85092,1.91192,
31.41535,1.84289,1.90422,
31.43911,1.83492,1.89657,
31.46287,1.8278,1.88897,
31.48662,1.82125,1.88143,
31.51038,1.81559,1.87394,
31.53413,1.81075,1.8665,
31.55789,1.80654,1.85911,
31.58165,1.80306,1.85177,
31.6054,1.80001,1.84448,
31.62916,1.79726,1.83724,
31.65291,1.79455,1.83005,
31.67667,1.79175,1.82291,
31.70043,1.78851,1.81581,
31.72418,1.78467,1.80877,
31.74794,1.78026,1.80177,
31.77169,1.77523,1.79481,
31.79545,1.76968,1.78791,
31.8192,1.76406,1.78105,
31.84296,1.75859,1.77423,
31.86672,1.75334,1.76746,
31.89047,1.74866,1.76073,
31.91423,1.74422,1.75405,
31.93798,1.74009,1.74741,
31.96174,1.73634,1.74082,
31.9855,1.73254,1.73426,
32.00925,1.72894,1.72775,
32.03301,1.7256,1.72129,
32.05676,1.72274,1.71486,
32.08052,1.7206,1.70848,
32.10428,1.71917,1.70213,
32.12803,1.71847,1.69583,
32.15179,1.71854,1.68957,
32.17554,1.71929,1.68334,
32.1993,1.72038,1.67716,
32.22306,1.72156,1.67102,
32.24681,1.72257,1.66491,
32.27057,1.72306,1.65884,
32.29432,1.7227,1.65282,
32.31808,1.72167,1.64683,
32.34184,1.71987,1.64087,
32.36559,1.71752,1.63496,
32.38935,1.71506,1.62908,
32.4131,1.71258,1.62323,
32.43686,1.71015,1.61743,
32.46062,1.70799,1.61166,
32.48437,1.70627,1.60592,
32.50813,1.705,1.60022,
32.53188,1.70416,1.59456,
32.55564,1.70374,1.58893,
32.57939,1.70367,1.58333,
32.60315,1.70383,1.57777,
32.62691,1.70425,1.57224,
32.65066,1.70463,1.56675,
32.67442,1.70491,1.56128,
32.69817,1.70506,1.55586,
32.72193,1.70479,1.55046,
32.74569,1.70405,1.5451,
32.76944,1.70307,1.53976,
32.7932,1.70203,1.53446,
32.81695,1.70109,1.5292,
32.84071,1.70038,1.52396,
32.86447,1.69996,1.51875,
32.88822,1.69979,1.51358,
32.91198,1.69975,1.50843,
32.93573,1.69985,1.50332,
32.95949,1.69986,1.49823,
32.98325,1.69968,1.49318,
33.007,1.69934,1.48815,
33.03076,1.69882,1.48316,
33.05451,1.69819,1.47819,
33.07827,1.69737,1.47325,
33.10203,1.69618,1.46834,
33.12578,1.69474,1.46346,
33.14954,1.69295,1.45861,
33.17329,1.69076,1.45378,
33.19705,1.68852,1.44898,
33.22081,1.68628,1.44421,
33.24456,1.68402,1.43947,
33.26832,1.68248,1.43475,
33.29207,1.68159,1.43006,
33.31583,1.68124,1.4254,
33.33958,1.68184,1.42076,
33.36334,1.683,1.41615,
33.3871,1.6845,1.41157,
33.41085,1.68635,1.40701,
33.43461,1.68822,1.40247,
33.45836,1.68995,1.39796,
33.48212,1.69141,1.39348,
33.50588,1.69252,1.38902,
33.52963,1.69326,1.38459,
33.55339,1.69341,1.38018,
33.57714,1.69316,1.37579,
33.6009,1.69241,1.37143,
33.62466,1.69107,1.36709,
33.64841,1.68956,1.36278,
33.67217,1.68781,1.35849,
33.69592,1.68589,1.35422,
33.71968,1.6843,1.34998,
33.74344,1.68299,1.34576,
33.76719,1.6817,1.34156,
33.79095,1.68103,1.33738,
33.8147,1.68057,1.33323,
33.83846,1.68006,1.3291,
33.86222,1.68013,1.32499,
33.88597,1.6802,1.3209,
33.90973,1.68022,1.31684,
33.93348,1.68059,1.31279,
33.95724,1.681,1.30877,
33.981,1.68135,1.30477,
34.00475,1.6818,1.30079,
34.02851,1.68211,1.29683,
34.05226,1.68209,1.2929,
34.07602,1.68194,1.28898,
34.09977,1.68168,1.28508,
34.12353,1.68138,1.28121,
34.14729,1.68099,1.27735,
34.17104,1.68067,1.27351,
34.1948,1.68073,1.2697,
34.21855,1.68089,1.2659,
34.24231,1.68131,1.26213,
34.26607,1.68208,1.25837,
34.28982,1.68245,1.25463,
34.31358,1.68278,1.25091,
34.33733,1.68307,1.24721,
34.36109,1.68281,1.24353,
34.38485,1.68235,1.23987,
34.4086,1.68184,1.23622,
34.43236,1.6808,1.2326,
34.45611,1.67949,1.22899,
34.47987,1.67831,1.2254,
34.50363,1.67679,1.22183,
34.52738,1.67543,1.21828,
34.55114,1.67454,1.21475,
34.57489,1.67375,1.21123,
34.59865,1.6732,1.20773,
34.62241,1.673,1.20425,
34.64616,1.67282,1.20078,
34.66992,1.67247,1.19733,
34.69367,1.67196,1.1939,
34.71743,1.6714,1.19049,
34.74119,1.67081,1.18709,
34.76494,1.6704,1.18371,
34.7887,1.67066,1.18035,
34.81245,1.67194,1.177,
34.83621,1.67405,1.17367,
34.85996,1.67715,1.17036,
34.88372,1.68091,1.16706,
34.90748,1.68401,1.16378,
34.93123,1.68599,1.16051,
34.95499,1.687,1.15726,
34.97874,1.6868,1.15403,
35.0025,1.68574,1.15081,
35.02626,1.68456,1.1476,
35.05001,1.68331,1.14441,
35.07377,1.68278,1.14124,
35.09752,1.68352,1.13808,
35.12128,1.68519,1.13494,
35.14504,1.68767,1.13181,
35.16879,1.69049,1.1287,
35.19255,1.69321,1.1256,
35.2163,1.69554,1.12252,
35.24006,1.69751,1.11945,
35.26382,1.69913,1.11639,
35.28757,1.70034,1.11335,
35.31133,1.70108,1.11032,
35.33508,1.70144,1.10731,
35.35884,1.70149,1.10431,
35.3826,1.70116,1.10133,
35.40635,1.70045,1.09836,
35.43011,1.6994,1.0954,
35.45386,1.69789,1.09246,
35.47762,1.69589,1.08953,
35.50138,1.69382,1.08662,
35.52513,1.69173,1.08371,
35.54889,1.68945,1.08082,
35.57264,1.68718,1.07795,
35.5964,1.68506,1.07509,
35.62016,1.68301,1.07224,
35.64391,1.68096,1.0694,
35.66767,1.67886,1.06658,
35.69142,1.67676,1.06377,
35.71518,1.67449,1.06097,
35.73893,1.67197,1.05818,
35.76269,1.66926,1.05541,
35.78645,1.66641,1.05265,
35.8102,1.6635,1.0499,
35.83396,1.66068,1.04716,
35.85771,1.65797,1.04444,
35.88147,1.65532,1.04173,
35.90523,1.6526,1.03903,
35.92898,1.64974,1.03634,
35.95274,1.64672,1.03367,
35.97649,1.64343,1.031,
36.00025,1.63968,1.02835,
36.02401,1.63567,1.02571,
36.04776,1.63161,1.02308,
36.07152,1.62742,1.02047,
36.09527,1.62338,1.01786,
36.11903,1.61974,1.01527,
36.14279,1.61629,1.01268,
36.16654,1.61304,1.01011,
36.1903,1.61047,1.00755,
36.21405,1.60837,1.005,
36.23781,1.60656,1.00247,
36.26157,1.60535,0.99994,
36.28532,1.60465,0.99742,
36.30908,1.60416,0.99492,
36.33283,1.60404,0.99242,
36.35659,1.60403,0.98994,
36.38035,1.60353,0.98747,
36.4041,1.60261,0.985,
36.42786,1.60109,0.98255,
36.45161,1.59873,0.98011,
36.47537,1.59563,0.97768,
36.49912,1.59188,0.97526,
36.52288,1.5877,0.97285,
36.54664,1.58343,0.97045,
36.57039,1.57911,0.96806,
36.59415,1.5748,0.96568,
36.6179,1.5712,0.96331,
36.64166,1.56814,0.96095,
36.66542,1.56537,0.9586,
36.68917,1.56329,0.95626,
36.71293,1.56183,0.95393,
36.73668,1.56009,0.9516,
36.76044,1.55838,0.94929,
36.7842,1.5569,0.94699,
36.80795,1.55481,0.9447,
36.83171,1.5524,0.94242,
36.85546,1.55024,0.94014,
36.87922,1.5482,0.93788,
36.90298,1.54607,0.93562,
36.92673,1.5447,0.93338,
36.95049,1.54384,0.93114,
36.97424,1.54311,0.92892,
36.998,1.5426,0.9267,
37.02176,1.54229,0.92449,
37.04551,1.54179,0.92229,
37.06927,1.54111,0.9201,
37.09302,1.54022,0.91792,
37.11678,1.53915,0.91574,
37.14054,1.53837,0.91358,
37.16429,1.53764,0.91142,
37.18805,1.53682,0.90928,
37.2118,1.53613,0.90714,
37.23556,1.53535,0.90501,
37.25931,1.53386,0.90289,
37.28307,1.53193,0.90077,
37.30683,1.52984,0.89867,
37.33058,1.52715,0.89657,
37.35434,1.52422,0.89449,
37.37809,1.52199,0.89241,
37.40185,1.52046,0.89034,
37.42561,1.51945,0.88827,
37.44936,1.51986,0.88622,
37.47312,1.52146,0.88417,
37.49687,1.52337,0.88213,
37.52063,1.52543,0.8801,
37.54439,1.52778,0.87808,
37.56814,1.52955,0.87607,
37.5919,1.53033,0.87406,
37.61565,1.53021,0.87206,
37.63941,1.52929,0.87007,
37.66317,1.52755,0.86809,
37.68692,1.52527,0.86611,
37.71068,1.52266,0.86414,
37.73443,1.52012,0.86218,
37.75819,1.51828,0.86023,
37.78195,1.51715,0.85828,
37.8057,1.51689,0.85635,
37.82946,1.51795,0.85442,
37.85321,1.52011,0.85249,
37.87697,1.52246,0.85058,
37.90073,1.52496,0.84867,
37.92448,1.52749,0.84677,
37.94824,1.52935,0.84487,
37.97199,1.53038,0.84299,
37.99575,1.53161,0.84111,
38.0195,1.53336,0.83924,
38.04326,1.53545,0.83737,
38.06702,1.53789,0.83551,
38.09077,1.54054,0.83366,
38.11453,1.54291,0.83182,
38.13828,1.54472,0.82998,
38.16204,1.54583,0.82815,
38.1858,1.54598,0.82633,
38.20955,1.5451,0.82451,
38.23331,1.54312,0.8227,
38.25706,1.54034,0.8209,
38.28082,1.53707,0.8191,
38.30458,1.53358,0.81731,
38.32833,1.52983,0.81553,
38.35209,1.5258,0.81375,
38.37584,1.5217,0.81198,
38.3996,1.51758,0.81022,
38.42336,1.51323,0.80846,
38.44711,1.50879,0.80671,
38.47087,1.5046,0.80497,
38.49462,1.5006,0.80323,
38.51838,1.49681,0.8015,
38.54214,1.4937,0.79977,
38.56589,1.49136,0.79805,
38.58965,1.48936,0.79634,
38.6134,1.48751,0.79463,
38.63716,1.4858,0.79293,
38.66092,1.48393,0.79124,
38.68467,1.48154,0.78955,
38.70843,1.47861,0.78787,
38.73218,1.47525,0.7862,
38.75594,1.47157,0.78453,
38.77969,1.46779,0.78286,
38.80345,1.46411,0.78121,
38.82721,1.46072,0.77956,
38.85096,1.45762,0.77791,
38.87472,1.45463,0.77627,
38.89847,1.45166,0.77464,
38.92223,1.44858,0.77301,
38.94599,1.44534,0.77139,
38.96974,1.44191,0.76977,
38.9935,1.43842,0.76816,
39.01725,1.43492,0.76655,
39.04101,1.43141,0.76495,
39.06477,1.4282,0.76336,
39.08852,1.42537,0.76177,
39.11228,1.42268,0.76019,
39.13603,1.41993,0.75861,
39.15979,1.41711,0.75704,
39.18355,1.41383,0.75548,
39.2073,1.40976,0.75392,
39.23106,1.40503,0.75236,
39.25481,1.39975,0.75081,
39.27857,1.39381,0.74927,
39.30233,1.38737,0.74773,
39.32608,1.38083,0.74619,
39.34984,1.37446,0.74467,
39.37359,1.36831,0.74314,
39.39735,1.36254,0.74163,
39.42111,1.35739,0.74011,
39.44486,1.35289,0.73861,
39.46862,1.34908,0.73711,
39.49237,1.34609,0.73561,
39.51613,1.34369,0.73412,
39.53988,1.34175,0.73263,
39.56364,1.34045,0.73115,
39.5874,1.33949,0.72967,
39.61115,1.33841,0.7282,
39.63491,1.33716,0.72673,
39.65866,1.33589,0.72527,
39.68242,1.33415,0.72382,
39.70618,1.3316,0.72237,
39.72993,1.32844,0.72092,
39.75369,1.32486,0.71948,
39.77744,1.32041,0.71804,
39.8012,1.31525,0.71661,
39.82496,1.31004,0.71518,
39.84871,1.30502,0.71376,
39.87247,1.29996,0.71234,
39.89622,1.29518,0.71093,
39.91998,1.29103,0.70952,
39.94374,1.28732,0.70812,
39.96749,1.28372,0.70672,
39.99125,1.28037,0.70532,
40.015,1.2771,0.70394,
40.03876,1.27378,0.70255,
40.06252,1.2705,0.70117,
40.08627,1.26739,0.69979,
40.11003,1.26426,0.69842,
40.13378,1.26124,0.69706,
40.15754,1.25849,0.69569,
40.1813,1.25584,0.69434,
40.20505,1.25275,0.69298,
40.22881,1.24948,0.69164,
40.25256,1.24615,0.69029,
40.27632,1.24249,0.68895,
40.30008,1.23832,0.68762,
40.32383,1.23442,0.68628,
40.34759,1.23133,0.68496,
40.37134,1.22892,0.68363,
40.3951,1.22698,0.68232,
40.41885,1.22598,0.681,
40.44261,1.22589,0.67969,
40.46637,1.22603,0.67839,
40.49012,1.22577,0.67709,
40.51388,1.22516,0.67579,
40.53763,1.22392,0.6745,
40.56139,1.22165,0.67321,
40.58515,1.21836,0.67192,
40.6089,1.21469,0.67064,
40.63266,1.21092,0.66937,
40.65641,1.20747,0.66809,
40.68017,1.20489,0.66683,
40.70393,1.20362,0.66556,
40.72768,1.20348,0.6643,
40.75144,1.20482,0.66305,
40.77519,1.20763,0.66179,
40.79895,1.21134,0.66055,
40.82271,1.21547,0.6593,
40.84646,1.22007,0.65806,
40.87022,1.22457,0.65682,
40.89397,1.22812,0.65559,
40.91773,1.23023,0.65436,
40.94149,1.23091,0.65314,
40.96524,1.23045,0.65192,
40.989,1.22866,0.6507,
41.01275,1.22546,0.64949,
41.03651,1.22147,0.64828,
41.06027,1.2173,0.64707,
41.08402,1.21273,0.64587,
41.10778,1.2078,0.64467,
41.13153,1.20311,0.64348,
41.15529,1.1987,0.64229,
41.17904,1.19487,0.6411,
41.2028,1.1917,0.63992,
41.22656,1.1892,0.63874,
41.25031,1.18736,0.63756,
41.27407,1.18606,0.63639,
41.29782,1.18516,0.63522,
41.32158,1.18454,0.63406,
41.34534,1.18426,0.63289,
41.36909,1.18414,0.63174,
41.39285,1.18451,0.63058,
41.4166,1.18547,0.62943,
41.44036,1.18683,0.62828,
41.46412,1.18841,0.62714,
41.48787,1.19041,0.626,
41.51163,1.19274,0.62486,
41.53538,1.19512,0.62373,
41.55914,1.19741,0.6226,
41.5829,1.19961,0.62147,
41.60665,1.20191,0.62035,
41.63041,1.20418,0.61923,
41.65416,1.2062,0.61811,
41.67792,1.20828,0.617,
41.70168,1.21055,0.61589,
41.72543,1.21306,0.61478,
41.74919,1.21578,0.61368,
41.77294,1.21878,0.61258,
41.7967,1.22198,0.61148,
41.82046,1.22535,0.61039,
41.84421,1.2288,0.6093,
41.86797,1.23217,0.60821,
41.89172,1.23538,0.60713,
41.91548,1.23834,0.60605,
41.93923,1.24107,0.60497,
41.96299,1.24368,0.6039,
41.98675,1.24613,0.60283,
42.0105,1.24857,0.60176,
42.03426,1.25102,0.6007,
42.05801,1.25353,0.59964,
42.08177,1.25623,0.59858,
42.10553,1.25907,0.59752,
42.12928,1.26215,0.59647,
42.15304,1.26532,0.59542,
42.17679,1.26838,0.59438,
42.20055,1.27128,0.59333,
42.22431,1.27395,0.59229,
42.24806,1.27635,0.59126,
42.27182,1.2786,0.59022,
42.29557,1.28099,0.58919,
42.31933,1.28364,0.58817,
42.34309,1.28659,0.58714,
42.36684,1.2899,0.58612,
42.3906,1.29359,0.5851,
42.41435,1.29769,0.58409,
42.43811,1.30197,0.58307,
42.46187,1.3063,0.58206,
42.48562,1.31064,0.58106,
42.50938,1.31487,0.58005,
42.53313,1.31883,0.57905,
42.55689,1.32237,0.57805,
42.58065,1.32549,0.57706,
42.6044,1.32814,0.57607,
42.62816,1.32998,0.57508,
42.65191,1.33103,0.57409,
42.67567,1.33147,0.57311,
42.69942,1.33142,0.57213,
42.72318,1.33093,0.57115,
42.74694,1.33012,0.57017,
42.77069,1.32936,0.5692,
42.79445,1.32887,0.56823,
42.8182,1.32858,0.56726,
42.84196,1.32842,0.5663,
42.86572,1.32846,0.56534,
42.88947,1.32881,0.56438,
42.91323,1.32935,0.56342,
42.93698,1.32984,0.56247,
42.96074,1.33021,0.56152,
42.9845,1.33065,0.56057,
43.00825,1.3311,0.55962,
43.03201,1.3314,0.55868,
43.05576,1.33161,0.55774,
