Frequency (Hz),FFT power (arb. units),"Crest 13 (female), 25.0 Hz, 30 cm distance",Frequency (Hz),Fit to Lorentzian shown 
,,,98.50197,6.35E-06
,,,98.62165,6.35E-06
,,,98.74134,6.35E-06
,,,98.86103,6.35E-06
,,,98.98071,6.35E-06
,,,99.1004,6.35E-06
,,,99.22009,6.35E-06
,,,99.33977,6.35E-06
,,,99.45946,6.35E-06
,,,99.57915,6.35E-06
,,,99.69883,6.35E-06
,,,99.81852,6.35E-06
,,,99.93821,6.35E-06
,,,100.05789,6.35E-06
,,,100.17758,6.35E-06
,,,100.29726,6.35E-06
,,,100.41695,6.35E-06
,,,100.53664,6.35E-06
,,,100.65632,6.35E-06
,,,100.77601,6.35E-06
,,,100.8957,6.35E-06
,,,101.01538,6.35E-06
,,,101.13507,6.35E-06
,,,101.25476,6.35E-06
,,,101.37444,6.34E-06
,,,101.49413,6.34E-06
,,,101.61382,6.34E-06
,,,101.7335,6.34E-06
,,,101.85319,6.34E-06
,,,101.97288,6.34E-06
,,,102.09256,6.34E-06
,,,102.21225,6.34E-06
,,,102.33193,6.34E-06
,,,102.45162,6.34E-06
,,,102.57131,6.34E-06
,,,102.69099,6.34E-06
,,,102.81068,6.34E-06
,,,102.93037,6.34E-06
,,,103.05005,6.34E-06
,,,103.16974,6.34E-06
,,,103.28943,6.34E-06
,,,103.40911,6.34E-06
,,,103.5288,6.34E-06
,,,103.64849,6.34E-06
,,,103.76817,6.34E-06
,,,103.88786,6.34E-06
,,,104.00755,6.34E-06
,,,104.12723,6.34E-06
,,,104.24692,6.34E-06
,,,104.3666,6.34E-06
,,,104.48629,6.34E-06
,,,104.60598,6.34E-06
,,,104.72566,6.34E-06
,,,104.84535,6.34E-06
,,,104.96504,6.34E-06
,,,105.08472,6.34E-06
,,,105.20441,6.34E-06
,,,105.3241,6.34E-06
,,,105.44378,6.34E-06
,,,105.56347,6.34E-06
,,,105.68316,6.34E-06
,,,105.80284,6.34E-06
,,,105.92253,6.34E-06
,,,106.04222,6.34E-06
,,,106.1619,6.34E-06
,,,106.28159,6.34E-06
,,,106.40127,6.34E-06
,,,106.52096,6.34E-06
,,,106.64065,6.34E-06
,,,106.76033,6.34E-06
,,,106.88002,6.34E-06
,,,106.99971,6.34E-06
,,,107.11939,6.34E-06
,,,107.23908,6.34E-06
,,,107.35877,6.34E-06
,,,107.47845,6.34E-06
,,,107.59814,6.34E-06
,,,107.71783,6.34E-06
,,,107.83751,6.34E-06
,,,107.9572,6.34E-06
,,,108.07689,6.34E-06
,,,108.19657,6.34E-06
,,,108.31626,6.34E-06
,,,108.43594,6.34E-06
,,,108.55563,6.34E-06
,,,108.67532,6.34E-06
,,,108.795,6.34E-06
,,,108.91469,6.34E-06
,,,109.03438,6.34E-06
,,,109.15406,6.34E-06
,,,109.27375,6.34E-06
,,,109.39344,6.34E-06
,,,109.51312,6.34E-06
,,,109.63281,6.34E-06
,,,109.7525,6.34E-06
,,,109.87218,6.34E-06
,,,109.99187,6.34E-06
,,,110.11156,6.34E-06
,,,110.23124,6.34E-06
,,,110.35093,6.34E-06
,,,110.47062,6.34E-06
,,,110.5903,6.34E-06
,,,110.70999,6.34E-06
,,,110.82967,6.33E-06
,,,110.94936,6.33E-06
,,,111.06905,6.33E-06
,,,111.18873,6.33E-06
,,,111.30842,6.33E-06
,,,111.42811,6.33E-06
,,,111.54779,6.33E-06
,,,111.66748,6.33E-06
,,,111.78717,6.33E-06
,,,111.90685,6.33E-06
,,,112.02654,6.33E-06
,,,112.14623,6.33E-06
,,,112.26591,6.33E-06
,,,112.3856,6.33E-06
,,,112.50529,6.33E-06
,,,112.62497,6.33E-06
,,,112.74466,6.33E-06
,,,112.86434,6.33E-06
,,,112.98403,6.33E-06
,,,113.10372,6.33E-06
,,,113.2234,6.33E-06
,,,113.34309,6.33E-06
,,,113.46278,6.33E-06
,,,113.58246,6.33E-06
,,,113.70215,6.33E-06
,,,113.82184,6.33E-06
,,,113.94152,6.33E-06
,,,114.06121,6.33E-06
,,,114.1809,6.33E-06
,,,114.30058,6.33E-06
,,,114.42027,6.33E-06
,,,114.53996,6.33E-06
,,,114.65964,6.33E-06
,,,114.77933,6.33E-06
,,,114.89901,6.33E-06
,,,115.0187,6.33E-06
,,,115.13839,6.33E-06
,,,115.25807,6.33E-06
,,,115.37776,6.33E-06
,,,115.49745,6.33E-06
,,,115.61713,6.33E-06
,,,115.73682,6.33E-06
,,,115.85651,6.33E-06
,,,115.97619,6.33E-06
,,,116.09588,6.33E-06
,,,116.21557,6.33E-06
,,,116.33525,6.33E-06
,,,116.45494,6.33E-06
,,,116.57463,6.33E-06
,,,116.69431,6.33E-06
,,,116.814,6.33E-06
,,,116.93368,6.33E-06
,,,117.05337,6.33E-06
,,,117.17306,6.33E-06
,,,117.29274,6.33E-06
,,,117.41243,6.33E-06
,,,117.53212,6.33E-06
,,,117.6518,6.33E-06
,,,117.77149,6.33E-06
,,,117.89118,6.33E-06
,,,118.01086,6.33E-06
,,,118.13055,6.33E-06
,,,118.25024,6.33E-06
,,,118.36992,6.33E-06
,,,118.48961,6.33E-06
,,,118.6093,6.33E-06
,,,118.72898,6.33E-06
,,,118.84867,6.33E-06
,,,118.96835,6.33E-06
,,,119.08804,6.33E-06
,,,119.20773,6.33E-06
,,,119.32741,6.33E-06
,,,119.4471,6.33E-06
,,,119.56679,6.33E-06
