crestID,trial_number,sex,number_feathers,color,displacement_flag_mm,force_N
9,2,M,20,blue,9.5,0.015
9,2,M,20,blue,10,0.017
9,2,M,20,blue,10.5,0.018
9,2,M,20,blue,11,0.019
9,2,M,20,blue,11.5,0.02
9,2,M,20,blue,12,0.021
9,2,M,20,blue,12.5,0.022
9,2,M,20,blue,13,0.022
9,2,M,20,blue,13.5,0.022
9,2,M,20,blue,14,0.024
9,2,M,20,blue,14.5,0.024
9,2,M,20,blue,15,0.024
9,3,M,20,blue,1,0.001
9,3,M,20,blue,3,0.003
9,3,M,20,blue,5,0.007
9,3,M,20,blue,7,0.012
9,3,M,20,blue,9,0.016
9,3,M,20,blue,11,0.021
9,3,M,20,blue,13,0.023
12,1,F,22,green,0,0.00E+00
12,1,F,22,green,0.5,0.00E+00
12,1,F,22,green,1,0
12,1,F,22,green,1.5,0.001
12,1,F,22,green,2,0
12,1,F,22,green,2.5,0.001
12,1,F,22,green,3,0.002
12,1,F,22,green,3.5,0.003
12,1,F,22,green,4,0.004
12,1,F,22,green,4.5,0.005
12,1,F,22,green,5,0.006
12,1,F,22,green,5.5,0.008
12,1,F,22,green,6,0.009
12,1,F,22,green,6.5,0.01
12,1,F,22,green,7,0.011
12,1,F,22,green,7.5,0.012
12,1,F,22,green,8,0.012
12,1,F,22,green,8.5,0.013
12,1,F,22,green,9,0.014
12,1,F,22,green,9.5,0.015
12,1,F,22,green,10,0.016
12,1,F,22,green,10.5,0.016
12,1,F,22,green,11,0.017
12,1,F,22,green,11.5,0.018
12,1,F,22,green,12,0.018
12,1,F,22,green,12.5,0.019
12,1,F,22,green,13,0.02
12,1,F,22,green,13.5,0.02
12,1,F,22,green,14,0.02
12,1,F,22,green,14.5,0.02
12,1,F,22,green,15,0.021
12,2,F,22,green,3,0.001
12,2,F,22,green,5,0.006
12,2,F,22,green,7,0.011
12,2,F,22,green,9,0.016
12,2,F,22,green,11,0.02
12,2,F,22,green,13,0.022
12,2,F,22,green,15,0.024
12,3,F,22,green,1,0.002
12,3,F,22,green,2,0.002
12,3,F,22,green,3,0.006
12,3,F,22,green,4,0.007
12,3,F,22,green,5,0.012
12,3,F,22,green,6,0.013
12,3,F,22,green,7,0.016
12,3,F,22,green,8,0.018
12,3,F,22,green,9,0.02
12,3,F,22,green,11,0.022
12,3,F,22,green,13,0.023
13,1,F,23,green,0,1.00E-03
13,1,F,23,green,0.5,1.00E-03
13,1,F,23,green,1,0.002
13,1,F,23,green,1.5,0.002
13,1,F,23,green,2,0.001
13,1,F,23,green,2.5,0.003
13,1,F,23,green,3,0.004
13,1,F,23,green,3.5,0.005
13,1,F,23,green,4,0.006
13,1,F,23,green,4.5,0.007
13,1,F,23,green,5,0.008
13,1,F,23,green,5.5,0.009
13,1,F,23,green,6,0.01
13,1,F,23,green,6.5,0.01
13,1,F,23,green,7,0.011
13,1,F,23,green,7.5,0.012
13,1,F,23,green,8,0.012
13,1,F,23,green,8.5,0.013
13,1,F,23,green,9,0.014
13,1,F,23,green,9.5,0.014
13,1,F,23,green,10,0.015
13,1,F,23,green,10.5,0.015
13,1,F,23,green,11,0.016
13,1,F,23,green,11.5,0.016
13,1,F,23,green,12,0.017
13,1,F,23,green,12.5,0.017
13,1,F,23,green,13,0.017
13,1,F,23,green,13.5,0.017
13,1,F,23,green,14,0.017
13,1,F,23,green,14.5,0.016
13,1,F,23,green,15,0.016
13,2,F,23,green,0,0.00E+00
13,2,F,23,green,0.5,1.00E-03
13,2,F,23,green,1,0.001
13,2,F,23,green,1.5,0.002
13,2,F,23,green,2,0.003
13,2,F,23,green,2.5,0.004
13,2,F,23,green,3,0.005
13,2,F,23,green,3.5,0.006
13,2,F,23,green,4,0.007
13,2,F,23,green,4.5,0.008
13,2,F,23,green,5,0.009
13,2,F,23,green,5.5,0.01
13,2,F,23,green,6,0.011
13,2,F,23,green,6.5,0.012
13,2,F,23,green,7,0.013
13,2,F,23,green,7.5,0.014
13,2,F,23,green,8,0.015
13,2,F,23,green,8.5,0.016
13,2,F,23,green,9,0.016
13,2,F,23,green,9.5,0.017
13,2,F,23,green,10,0.018
13,2,F,23,green,10.5,0.019
13,2,F,23,green,11,0.019
13,2,F,23,green,11.5,0.019
13,2,F,23,green,12,0.02
13,2,F,23,green,12.5,0.019
13,2,F,23,green,13,0.018
13,2,F,23,green,13.5,0.018
13,3,F,23,green,1,0.002
13,3,F,23,green,2,0.008
13,3,F,23,green,3,0.011
13,3,F,23,green,4,0.015
13,3,F,23,green,5,0.017
13,3,F,23,green,6,0.021
13,3,F,23,green,7,0.022
13,3,F,23,green,8,0.024
13,3,F,23,green,10,0.027
13,3,F,23,green,12,0.026
